Num,ADJUSTED NUMBER,Observer,Date,Cloud,Wind,Time,Species,Lat,Lon,Age,Sex,Bird Height,Foraging Location,Foraging Behavior,Flock?,# individuals,Con/hetero,# species,Which species,Substrate type,Canopy height,Canopy level,PLAYBACK?,Locality,NOTE,,,Distance from Trunk,DBH,(habitat),(tree height),,,
5,193,MG,1/20,20,1,810,AMRE,18.5293161,-68.37581,F/J,U,6,OL,P,Y,15,H,8,"1 CMWA, AMRE, 2 NOPA, 3 YFGR, GABU, OVEN, 4 PRAW, 2 BCPT",T,6,2,N,Hacienda,,,,,,,,,,
5,193,MG,1/20,20,1,810,AMRE,18.5293161,-68.37581,F/J,U,6,UF,G,Y,15,H,8,"1 CMWA, AMRE, 2 NOPA, 3 YFGR, GABU, OVEN, 4 PRAW, 2 BCPT",T,6,2,N,Hacienda,,,,,,,,,,
14,202,MG,1/20,20,1,830,AMRE,18.5288936,-68.3759089,F/J,U,0.5,L,H,Y,3,H,3,"AMRE, BCPT, PRAW",B,2,1,N,Hacienda,,,,,,,,,,
14,202,MG,1/20,20,1,830,AMRE,18.5288936,-68.3759089,F/J,U,0.2,F,H,Y,3,H,3,"AMRE, BCPT, PRAW",B,2,1,N,Hacienda,,,,,,,,,,
14,266,MG,1/21,10,1,840,AMRE,18.526422,-68.3813129,AD,M,3,L,H,N,,,,,T,10,1,N,Man-made Lagoons,,,,,,,,,,
14,266,MG,1/21,10,1,840,AMRE,18.526422,-68.3813129,AD,M,3,F,F,N,,,,,T,10,1,N,Man-made Lagoons,,,,,,,,,,
14,266,MG,1/21,10,1,840,AMRE,18.526422,-68.3813129,AD,M,3,F,S,N,,,,,D,10,1,N,Man-made Lagoons,,,,,,,,,,
14,266,MG,1/21,10,1,840,AMRE,18.526422,-68.3813129,AD,M,3,SW,G,N,,,,,D,10,1,N,Man-made Lagoons,,,,,,,,,,
14,266,MG,1/21,10,1,840,AMRE,18.526422,-68.3813129,AD,M,4,F,F,N,,,,,T,10,2,N,Man-made Lagoons,,,,,,,,,,
12,33,E + M + A + K,1/12,30,1,1720,BAWW,18.5177221,-68.3798937,U,U,4,T,G,Y,3,H,3,"NOPA, AMRE",S,16,2,Y,Behind Sewage Ponds,,,,0,1,,,,,
12,33,E + M + A + K,1/12,30,1,1720,BAWW,18.5177221,-68.3798937,U,U,4,T,G,Y,3,H,3,"NOPA, AMRE",S,16,2,Y,Behind Sewage Ponds,,,,0,1,,,,,
9,68,MG,1/16,0,2,1753,BAWW,18.5277184,-68.3801203,U,U,1,T,G,N,,,,,T,12,1,Y,Man-made Lagoons,,,,,,,,,,
9,68,MG,1/16,0,2,1753,BAWW,18.5277184,-68.3801203,U,U,1,F,G,N,,,,,T,12,1,N,Man-made Lagoons,,,,,,,,,,
10,69,MG,1/16,0,2,1753,BAWW,18.5277184,-68.3801203,U,U,3,T,G,Y,2,H,2,"NOPA, BAWW",T,12,2,N,Man-made Lagoons,,,,,,,,,,
4,116,MG,1/19,0,0,930,BAWW,18.5167661,-68.3846422,U,U,1,T,G,N,,,,,T,10,1,N,Gavilan,,,,,,,,,,
13,140,AE,1/19,0,0,855,BAWW,18.5279037,-68.3787845,U,U,3,T,G,Y,,H,2,"BAWW, AMRE",T,9,1,N,Hacienda,,,,,,,,,,
13,140,AE,1/19,0,0,855,BAWW,18.5279037,-68.3787845,U,U,4,T,G,Y,,H,2,"BAWW, AMRE",T,9,2,N,Hacienda,,,,,,,,,,
21,148,AE,1/19,0,0,935,BAWW,18.5283999,-68.3773539,U,U,3,T,G,N,,,,,T,9,1,N,Hacienda,,,,,,,,,,
21,148,AE,1/19,0,0,935,BAWW,18.5283999,-68.3773539,U,U,5,T,G,N,,,,,T,9,2,N,Hacienda,,,,,,,,,,
7,216,AE,1/20,10,1,845,BAWW,18.516873,-68.3732766,U,U,4,T,G,N,,,,,T,12,2,N,Reserve,,,,,,,,,,
7,216,AE,1/20,10,1,845,BAWW,18.516873,-68.3732766,U,U,6,T,G,N,,,,,T,12,2,N,Reserve,,,,,,,,,,
