Num,ADJUSTED NUMBER,Observer,Date,Cloud,Wind,Time,Species,Lat,Lon,Age,Sex,Bird Height,Foraging Location,Foraging Behavior,Flock?,# individuals,Con/hetero,# species,Which species,Substrate type,Canopy height,Canopy level,PLAYBACK?,Locality,NOTE,,,Distance from Trunk,DBH,(habitat),(tree height),,,
9,261,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,7,Y,C,Y,2,C,1,,T,8,3,N,Man-made Lagoons,,,,,,,,,,
9,261,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,7,Y,C,Y,2,C,1,,T,8,3,N,Man-made Lagoons,,,,,,,,,,
10,262,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,8,OF,G,N,,,,,T,10,3,N,Man-made Lagoons,,,,,,,,,,
10,262,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,5,OL,G,N,,,,,T,10,2,N,Man-made Lagoons,,,,,,,,,,
10,262,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,5,UL,G,N,,,,,T,10,2,N,Man-made Lagoons,,,,,,,,,,
10,262,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,5,UL,G,N,,,,,T,10,2,N,Man-made Lagoons,,,,,,,,,,
8,275,AE,1/21,10,1,840,BWVI,18.5202717,-68.3845543,U,U,7,OL,G,N,,,,,T,8,3,N,Behind Sewage Ponds,,,,,,,,,,
8,275,AE,1/21,10,1,840,BWVI,18.5202717,-68.3845543,U,U,7,UL,G,N,,,,,T,8,3,N,Behind Sewage Ponds,,,,,,,,,,
8,275,AE,1/21,10,1,840,BWVI,18.5202717,-68.3845543,U,U,7,OF,G,N,,,,,T,8,3,N,Behind Sewage Ponds,,,,,,,,,,
9,276,AE,1/21,10,1,840,BWVI,18.5202717,-68.3845543,U,U,6,Y,C,N,,,,,T,8,3,N,Behind Sewage Ponds,,,,,,,,,,
9,276,AE,1/21,10,1,840,BWVI,18.5202717,-68.3845543,U,U,7,OL,G,N,,,,,T,8,3,N,Behind Sewage Ponds,,,,,,,,,,
9,276,AE,1/21,10,1,840,BWVI,18.5202717,-68.3845543,U,U,6,OL,G,N,,,,,T,8,3,N,Behind Sewage Ponds,,,,,,,,,,
21,21,E + M,1/11,30,2,1728,CMWA,18.5283316,-68.3805736,U,U,7,OF,G,Y,3,H,3,"BCPT, NOPA",,,,N,Behind Sewage Ponds,,,,1.5,4,Intermediate edge,9,,,
5,26,E + M + A + K,1/12,30,1,1640,CMWA,18.5202062,-68.3896133,Ad,U,5,UF,G,N,,,,,T,,,Y,Behind Sewage Ponds,,,,1,,,,,,
5,26,E + M + A + K,1/12,30,1,1640,CMWA,18.5202062,-68.3896133,U,U,3,OL,H,N,,,,,T,,,Y,Behind Sewage Ponds,,,,0,,,,,,
5,26,E + M + A + K,1/12,30,1,1642,CMWA,18.5202062,-68.3896133,U,U,4,UL,G,N,,,,,B,,,Y,Behind Sewage Ponds,,,,0,,,,,,
7,28,E + M + A + K,1/12,30,1,1650,CMWA,18.5191158,-68.3849737,Ad,M,7,OF,G,Y,2,H,2,NOPA,T,9,3,Y,Behind Sewage Ponds,,,,,,,,,,
10,44,A + M,1/13,10,3,1715,CMWA,18.51419,-68.3720136,F/J,U,7,OL,G,Y,,H,2,"CMWA, YRWA",T,13,3,N,Casitas,,,,,,,,,,
17,51,A + M,1/13,10,3,1725,CMWA,18.51419,-68.3720136,Ad,M,13,OF,G,N,,,,,LT,13,3,N,Casitas,,,,,,,,,,
17,51,A + M,1/13,10,3,1725,CMWA,18.51419,-68.3720136,Ad,M,13,OL,G,N,,,,,LT,13,3,N,Casitas,,,,,,,,,,
17,51,A + M,1/13,10,3,1725,CMWA,18.51419,-68.3720136,Ad,M,13,SW,G,N,,,,,LT,13,3,N,Casitas,,,,,,,,,,
17,51,A + M,1/13,10,3,1725,CMWA,18.51419,-68.3720136,Ad,M,13,OS,G,N,,,,,LT,13,3,N,Casitas,,,,,,,,,,
17,51,A + M,1/13,10,3,1725,CMWA,18.51419,-68.3720136,Ad,M,11,UF,G,N,,,,,LT,13,3,N,Casitas,,,,,,,,,,
2,54,A + E,1/15,100,3,1607,CMWA,18.5145753,-68.3728937,Ad,M,8,F,G,Y,2,H,2,"CMWA, NOPA",LT,10,3,N,Casitas,,,,,,,,,,
2,54,A + E,1/15,100,3,1607,CMWA,18.5145753,-68.3728937,Ad,M,8,,F,Y,2,H,2,"CMWA, NOPA",LT,10,3,N,Casitas,,,,,,,,,,
2,54,A + E,1/15,100,3,1607,CMWA,18.5145753,-68.3728937,Ad,M,9,F,G,Y,2,H,2,"CMWA, NOPA",LT,10,3,N,Casitas,,,,,,,,,,
8,67,MG,1/16,0,2,1741,CMWA,18.5282518,-68.3815794,F/J,U,9,OF,G,Y,2,H,2,"4 CMWA, 1 AMRE",T,11,3,Y,Man-made Lagoons,,,,,,,,,,
1,72,AE,1/17,0,2,1535,CMWA,18.5158308,-68.379616,Ad,M,1.5,OL,G,N,,,,,S,,,N,Hacienda,,,,,,,,,,
1,72,AE,1/17,0,2,1535,CMWA,18.5158308,-68.379616,Ad,M,1.5,OF,G,N,,,,,S,,,N,Hacienda,,,,,,,,,,
1,72,AE,1/17,0,2,1535,CMWA,18.5158308,-68.379616,Ad,M,1.5,OF,G,N,,,,,S,,,N,Hacienda,,,,,,,,,,
1,72,AE,1/17,0,2,1535,CMWA,18.5158308,-68.379616,Ad,M,1.5,OF,G,N,,,,,S,,,N,Hacienda,,,,,,,,,,
1,72,AE,1/17,0,2,1535,CMWA,18.5158308,-68.379616,Ad,M,1.5,OL,G,N,,,,,S,,,N,Hacienda,,,,,,,,,,
24,95,MG,1/17,0,2,1745,CMWA,18.5374397,-68.3761124,Ad,M,7,UL,G,Y,,H,2,"NOPA, CMWA",T,14,2,N,Hacienda,,,,,,,,,,
24,95,MG,1/17,0,2,1745,CMWA,18.5374397,-68.3761124,Ad,M,7,OL,G,Y,,H,2,"NOPA, CMWA",T,14,2,N,Hacienda,,,,,,,,,,
24,95,MG,1/17,0,2,1745,CMWA,18.5374397,-68.3761124,Ad,M,7,OF,G,Y,,H,2,"NOPA, CMWA",T,14,2,N,Hacienda,,,,,,,,,,
25,96,MG,1/17,0,2,1745,CMWA,18.5374397,-68.3761124,Ad,M,7,OL,G,Y,,H,2,"NOPA, CMWA",T,14,2,N,Hacienda,,,,,,,,,,
25,96,MG,1/17,0,2,1745,CMWA,18.5374397,-68.3761124,Ad,M,7,OF,G,Y,,H,2,"NOPA, CMWA",T,14,2,N,Hacienda,,,,,,,,,,
1,97,MG,1/18,60,2,1638,CMWA,18.5084551,-68.374484,,M,10,UL,G,N,,,,,T,15,2,PISHING,FUNDACION,,,,,,,,,,
1,97,MG,1/18,60,2,1638,CMWA,18.5084551,-68.374484,,M,10,F,G,N,,,,,T,15,2,PISHING,FUNDACION,,,,,,,,,,
1,97,MG,1/18,60,2,1638,CMWA,18.5084551,-68.374484,,M,10,UL,G,N,,,,,T,15,2,PISHING,FUNDACION,,,,,,,,,,
1,97,MG,1/18,60,2,1638,CMWA,18.5084551,-68.374484,,M,10,OL,G,N,,,,,T,15,2,PISHING,FUNDACION,,,,,,,,,,
1,97,MG,1/18,60,2,1638,CMWA,18.5084551,-68.374484,,M,10,OL,G,N,,,,,T,15,2,PISHING,FUNDACION,,,,,,,,,,
1,97,MG,1/18,60,2,1638,CMWA,18.5084551,-68.374484,,M,10,UL,G,N,,,,,T,15,2,PISHING,FUNDACION,,,,,,,,,,
1,97,MG,1/18,60,2,1638,CMWA,18.5084551,-68.374484,,M,10,F,G,N,,,,,T,15,2,PISHING,FUNDACION,,,,,,,,,,
1,97,MG,1/18,60,2,1638,CMWA,18.5084551,-68.374484,,M,10,UL,G,N,,,,,T,15,2,PISHING,FUNDACION,,,,,,,,,,
2,106,AE,1/18,60,3,1710,CMWA,18.5157239,-68.3739981,U,U,5,F,F,N,,,,,T,8,2,N,Casitas - Polo,,,,,,,,,,
2,129,AE,1/19,0,0,805,CMWA,18.5164466,-68.3797525,AD,M,6,OL,G,N,,,,,,10,2,N,Hacienda,,,,,,,,,,
2,129,AE,1/19,0,0,805,CMWA,18.5164466,-68.3797525,AD,M,5,OL,H,N,,,,,,10,2,N,Hacienda,,,,,,,,,,
22,149,AE,1/19,0,0,950,CMWA,18.5246837,-68.378869,F/J,U,7,OF,F,Y,,H,2,"CMWA, YRWA",T,12,2,N,Hacienda,,,,,,,,,,
22,149,AE,1/19,0,0,950,CMWA,18.5246837,-68.378869,F/J,U,6,OL,H,Y,,H,2,"CMWA, YRWA",T,12,2,N,Hacienda,,,,,,,,,,
22,149,AE,1/19,0,0,950,CMWA,18.5246837,-68.378869,F/J,U,6,OL,G,Y,,H,2,"CMWA, YRWA",T,12,2,N,Hacienda,,,,,,,,,,
22,149,AE,1/19,0,0,950,CMWA,18.5246837,-68.378869,F/J,U,5,UL,G,Y,,H,2,"CMWA, YRWA",T,12,2,N,Hacienda,,,,,,,,,,
23,150,AE,1/19,0,0,952,CMWA,18.5246837,-68.378869,AD,M,6,OL,H,Y,,H,2,"CMWA, YRWA",T,12,2,N,Hacienda,,,,,,,,,,
23,150,AE,1/19,0,0,952,CMWA,18.5246837,-68.378869,AD,M,4,OL,G,Y,,H,2,"CMWA, YRWA",T,12,2,N,Hacienda,,,,,,,,,,
23,150,AE,1/19,0,0,952,CMWA,18.5246837,-68.378869,AD,M,5,OL,G,Y,,H,2,"CMWA, YRWA",T,12,2,N,Hacienda,,,,,,,,,,
23,150,AE,1/19,0,0,952,CMWA,18.5246837,-68.378869,AD,M,5,OL,H,Y,,H,2,"CMWA, YRWA",T,12,1,N,Hacienda,,,,,,,,,,
1,154,EH,1/19,0,0,758,CMWA,18.515709,-68.3797746,AD,M,9,OL,G,Y,3,H,2,"2 YRWA, CMWA",T,10,3,N,Marina ,,,,,,,,,,
1,154,EH,1/19,0,0,758,CMWA,18.515709,-68.3797746,AD,M,9,OF,G,Y,3,H,2,"2 YRWA, CMWA",T,10,3,N,Marina ,,,,,,,,,,
1,154,EH,1/19,0,0,758,CMWA,18.515709,-68.3797746,AD,M,9,OL,G,Y,3,H,2,"2 YRWA, CMWA",T,10,3,N,Marina ,,,,,,,,,,
1,154,EH,1/19,0,0,758,CMWA,18.515709,-68.3797746,AD,M,9,UL,G,Y,3,H,2,"2 YRWA, CMWA",T,10,3,N,Marina ,,,,,,,,,,
1,154,EH,1/19,0,0,758,CMWA,18.515709,-68.3797746,AD,M,9,OF,G,Y,3,H,2,"2 YRWA, CMWA",T,10,3,N,Marina ,,,,,,,,,,
1,154,EH,1/19,0,0,758,CMWA,18.515709,-68.3797746,AD,M,9,OL,G,Y,3,H,2,"2 YRWA, CMWA",T,10,3,N,Marina ,,,,,,,,,,
1,154,EH,1/19,0,0,758,CMWA,18.515709,-68.3797746,AD,M,9,OL,G,Y,3,H,2,"2 YRWA, CMWA",T,10,3,N,Marina ,,,,,,,,,,
9,175,K,1/19,40,1,1730,CMWA,18.517695,-68.3755179,F/J,U,6,F,G,Y,-,H,3,"YRWA(3), PRAW(1)",T,16,2,N,Reserve to Casitas,,,,,,,,,,
9,175,K,1/19,40,1,1730,CMWA,18.517695,-68.3755179,F/J,U,7,UL,G,Y,-,H,3,"YRWA(3), PRAW(1)",T,16,2,N,Reserve to Casitas,,,,,,,,,,
9,175,K,1/19,40,1,1730,CMWA,18.517695,-68.3755179,F/J,U,7,L,H,Y,-,H,3,"YRWA(3), PRAW(1)",T,16,2,N,Reserve to Casitas,,,,,,,,,,
9,175,K,1/19,40,1,1730,CMWA,18.517695,-68.3755179,F/J,U,7,L,S,Y,-,H,3,"YRWA(3), PRAW(1)",T,16,2,N,Reserve to Casitas,,,,,,,,,,
10,176,K,1/19,40,1,1750,CMWA,18.517695,-68.3755179,F/J,U,10,F,P,Y,-,H,3,"YRWA(3), NOPA (1), PRAW(2)",T,16,3,Y,Reserve to Casitas,,,,,,,,,,
9,175,E,1/19,40,1,1600,CMWA,18.517695,-68.3755179,U,U,9,L,H,Y,-,H,3,"YRWA(3), NOPA (1), PRAW(1)",T,16,2,N,Reserve to Casitas,,,,,,,,,,
9,175,E,1/19,40,1,1600,CMWA,18.517695,-68.3755179,U,U,9,L,H,Y,-,H,3,"YRWA(3), NOPA (1), PRAW(1)",T,16,2,N,Reserve to Casitas,,,,,,,,,,
9,175,E,1/19,40,1,1600,CMWA,18.517695,-68.3755179,U,U,9,L,H,Y,-,H,3,"YRWA(3), NOPA (1), PRAW(1)",T,16,2,N,Reserve to Casitas,,,,,,,,,,
9,175,E,1/19,40,1,1600,CMWA,18.517695,-68.3755179,U,U,9,L,H,Y,-,H,3,"YRWA(3), NOPA (1), PRAW(1)",T,16,2,N,Reserve to Casitas,,,,,,,,,,
5,183,MG,1/19,30,1,1705,CMWA,18.5397548,-68.3735184,F/J,U,8,OL,G,,,,,,T,9,3,N,Hacienda,,,,,,,,,,
6,184,MG,1/19,30,1,1720,CMWA,18.5434174,-68.3730631,Ad,M,3.5,W,D,,,,,,T,10,2,N,Hacienda,,,,,,,,,,
6,184,MG,1/19,30,1,1720,CMWA,18.5434174,-68.3730631,Ad,M,3.5,W,D,,,,,,T,10,2,N,Hacienda,,,,,,,,,,
6,184,MG,1/19,30,1,1720,CMWA,18.5434174,-68.3730631,Ad,M,3.5,W,D,,,,,,T,10,2,N,Hacienda,,,,,,,,,,
6,184,MG,1/19,30,1,1720,CMWA,18.5434174,-68.3730631,Ad,M,3.5,W,D,,,,,,T,10,2,N,Hacienda,,,,,,,,,,
6,184,MG,1/19,30,1,1720,CMWA,18.5434174,-68.3730631,Ad,M,3.5,F,G,,,,,,T,10,2,N,Hacienda,,,,,,,,,,
8,186,MG,1/19,30,1,1755,CMWA,18.5390237,-68.373864,U,U,1.5,OF,G,Y,3,H,2,"2 CMWA, NOPA",B,13,1,N,Hacienda,,,,,,,,,,
8,186,MG,1/19,30,1,1755,CMWA,18.5390237,-68.373864,U,U,1.5,F,F,Y,3,H,2,"2 CMWA, NOPA",B,13,1,N,Hacienda,,,,,,,,,,
8,186,MG,1/19,30,1,1755,CMWA,18.5390237,-68.373864,U,U,1.5,L,H,Y,3,H,2,"2 CMWA, NOPA",B,13,1,N,Hacienda,,,,,,,,,,
8,186,MG,1/19,30,1,1755,CMWA,18.5390237,-68.373864,U,U,1.5,UL,G,Y,3,H,2,"2 CMWA, NOPA",B,13,1,N,Hacienda,,,,,,,,,,
8,186,MG,1/19,30,1,1755,CMWA,18.5390237,-68.373864,U,U,1.5,OL,G,Y,3,H,2,"2 CMWA, NOPA",S,13,1,N,Hacienda,,,,,,,,,,
10,188,MG,1/19,30,1,1755,CMWA,18.5390237,-68.373864,U,U,9,W,D,,,,,,T,11,3,N,Hacienda,,,,,,,,,,
1,189,MG,1/20,20,1,722,CMWA,18.5160024,-68.3792264,Ad,M,9,OL,G,,,,,,T,11,3,N,Hacienda,,,,,,,,,,
1,189,MG,1/20,20,1,722,CMWA,18.5160024,-68.3792264,Ad,M,9,OL,G,,,,,,T,11,3,N,Hacienda,,,,,,,,,,
1,189,MG,1/20,20,1,722,CMWA,18.5160024,-68.3792264,Ad,M,9,OL,G,,,,,,T,11,3,N,Hacienda,,,,,,,,,,
1,189,MG,1/20,20,1,722,CMWA,18.5160024,-68.3792264,Ad,M,9,OL,G,,,,,,T,11,3,N,Hacienda,,,,,,,,,,
2,190,MG,1/20,20,1,722,CMWA,18.5160024,-68.3792264,Ad,M,6,OF,G,,,,,,T,11,2,N,Hacienda,,,,,,,,,,
2,190,MG,1/20,20,1,722,CMWA,18.5160024,-68.3792264,Ad,M,6,UF,G,,,,,,T,11,2,N,Hacienda,,,,,,,,,,
2,190,MG,1/20,20,1,722,CMWA,18.5160024,-68.3792264,Ad,M,6,F,F,,,,,,T,11,2,N,Hacienda,,,,,,,,,,
3,191,MG,1/20,20,1,750,CMWA,18.5267132,-68.3783728,Ad,M,13,W,D,,,,,,T,14,3,N,Hacienda,,,,,,,,,,
3,191,MG,1/20,20,1,750,CMWA,18.5267132,-68.3783728,Ad,M,13,W,D,,,,,,T,14,3,N,Hacienda,,,,,,,,,,
3,191,MG,1/20,20,1,750,CMWA,18.5267132,-68.3783728,Ad,M,13,W,D,,,,,,T,14,3,N,Hacienda,,,,,,,,,,
3,191,MG,1/20,20,1,750,CMWA,18.5267132,-68.3783728,Ad,M,13,W,D,,,,,,T,14,3,N,Hacienda,,,,,,,,,,
3,191,MG,1/20,20,1,750,CMWA,18.5267132,-68.3783728,Ad,M,13,W,D,,,,,,T,14,3,N,Hacienda,,,,,,,,,,
3,191,MG,1/20,20,1,750,CMWA,18.5267132,-68.3783728,Ad,M,13,W,D,,,,,,T,14,3,N,Hacienda,,,,,,,,,,
3,191,MG,1/20,20,1,750,CMWA,18.5267132,-68.3783728,Ad,M,13,UL,G,,,,,,T,14,3,N,Hacienda,,,,,,,,,,
3,191,MG,1/20,20,1,750,CMWA,18.5267132,-68.3783728,Ad,M,12,F,S,,,,,,T,14,3,N,Hacienda,,,,,,,,,,
3,191,MG,1/20,20,1,750,CMWA,18.5267132,-68.3783728,Ad,M,12,OL,G,,,,,,T,14,3,N,Hacienda,,,,,,,,,,
13,222,AE,1/20,10,1,1030,CMWA,18.5157729,-68.3801712,F/J,U,2,OL,G,N,,,,,S,7,1,N,Reserve,,,,,,,,,,
1,223,EH,1/20,10,1,757,CMWA,18.5374617,-68.3759448,AD,M,3,OF,G,N,-,-,-,-,T,6,3,PISHING,Hacienda,,,,,,,,,,
1,223,EH,1/20,10,1,757,CMWA,18.5374617,-68.3759448,AD,M,3,UL,G,N,-,-,-,-,T,6,3,PISHING,Hacienda,,,,,,,,,,
1,223,EH,1/20,10,1,757,CMWA,18.5374617,-68.3759448,AD,M,4,W,D,N,-,-,-,-,T,6,3,PISHING,Hacienda,,,,,,,,,,
1,223,EH,1/20,10,1,757,CMWA,18.5374617,-68.3759448,AD,M,4,W,D,N,-,-,-,-,T,6,3,PISHING,Hacienda,,,,,,,,,,
2,224,EH,1/20,10,1,817,CMWA,18.5374617,-68.3782565,F/J,U,12.5,W,D,N,-,-,-,-,T,13,3,N,Hacienda,,,,x5,,,,,,
2,224,EH,1/20,10,1,817,CMWA,18.5374617,-68.3782565,F/J,U,12.5,W,D,N,-,-,-,-,T,13,3,N,Hacienda,,,,x5,,,,,,
2,224,EH,1/20,10,1,817,CMWA,18.5374617,-68.3782565,F/J,U,12.5,W,D,N,-,-,-,-,T,13,3,N,Hacienda,,,,x5,,,,,,
2,224,EH,1/20,10,1,817,CMWA,18.5374617,-68.3782565,F/J,U,12.5,W,D,N,-,-,-,-,T,13,3,N,Hacienda,,,,x5,,,,,,
2,224,EH,1/20,10,1,817,CMWA,18.5374617,-68.3782565,F/J,U,12.5,W,D,N,-,-,-,-,T,13,3,N,Hacienda,,,,x5,,,,,,
4,226,EH,1/20,10,1,836,CMWA,18.5321358,-68.3785871,U,U,9,UF,G,Y,3,H,2,"1 NOPA, 2 CMWA",T,10,3,N,Hacienda,,,,,,,,,,
7,229,EH,1/20,10,1,925,CMWA,18.5316949,-68.3830711,AD,F,4,UL,G,Y,3,H,2,"1 CMWA, 2 NOPA",T,8,2,N,Hacienda,,,,,,,,,,
7,229,EH,1/20,10,1,925,CMWA,18.5316949,-68.3830711,AD,F,4,UL ,G,Y,3,H,2,"1 CMWA, 2 NOPA",T,8,2,N,Hacienda,,,,,,,,,,
7,229,EH,1/20,10,1,925,CMWA,18.5316949,-68.3830711,AD,F,4,OL ,G,Y,3,H,2,"1 CMWA, 2 NOPA",T,8,2,N,Hacienda,,,,,,,,,,
7,229,EH,1/20,10,1,925,CMWA,18.5316949,-68.3830711,AD,F,4,OL ,G,Y,3,H,2,"1 CMWA, 2 NOPA",T,8,2,N,Hacienda,,,,,,,,,,
7,229,EH,1/20,10,1,925,CMWA,18.5316949,-68.3830711,AD,F,4,OL ,G,Y,3,H,2,"1 CMWA, 2 NOPA",T,8,2,N,Hacienda,,,,,,,,,,
9,238,K,1/20,40,1,808,CMWA,"18º31`3""N","68º22`31""W",AD,M,6,F,G,N,-,-,-,-,T,12,2,N,Tortuga Bay - Main Road,,,,,,,,,,
9,238,K,1/20,40,1,815,CMWA,"18º31`3""N","68º22`31""W",AD,M,6,UL,H,N,-,-,-,-,T,12,2,N,Tortuga Bay - Main Road,,,,,,,,,,
10,239,K,1/20,40,1,820,CMWA,"18º31`3""N","68º22`31""W",F/J,U,7,UL,H,N,-,-,-,-,T,12,2,N,Tortuga Bay - Main Road,,,,,,,,,,
10,239,K,1/20,40,1,835,CMWA,"18º31`3""N","68º22`31""W",F/J,U,7,UL,G,N,-,-,-,-,T,12,2,N,Tortuga Bay - Main Road,,,,,,,,,,
11,240,K,1/20,40,1,842,CMWA,"18º31`3""N","68º22`31""W",AD,M,5,F,G,N,-,-,-,-,T,12,2,N,Tortuga Bay - Main Road,,,,,,,,,,
15,244,K,1/20,40,1,916,CMWA,"18º31`12""N","68º22`23""W",AD,M,3,OL,G,N,-,-,-,-,T,12,1,N,Tortuga Bay - Main Road,,,,,,,,,,
18,247,K,1/20,40,1,1010,CMWA,"18º30`58""N","68º22`48""W",AD,M,5,UL,S,N,-,-,-,-,T,12,2,N,Tortuga Bay - Main Road,,,,,,,,,,
18,247,K,1/20,40,1,1010,CMWA,"18º30`58""N","68º22`48""W",AD,M,5,OL,G,N,-,-,-,-,T,12,2,N,Tortuga Bay - Main Road,,,,,,,,,,
18,247,K,1/20,40,1,1010,CMWA,"18º30`58""N","68º22`48""W",AD,M,6,OF,G,N,-,-,-,-,T,12,2,N,Tortuga Bay - Main Road,,,,,,,,,,
3,250,K,1/20,10,1,1627,CMWA,"18º30`60""N","68º22`48""W",F/J,U,7,UL,G,N,2,C,1,-,T,15,2,N,Gavilan,,,,,,,,,,
3,250,K,1/20,10,1,1627,CMWA,"18º30`60""N","68º22`48""W",F/J,U,7,OL,K,N,2,C,1,-,T,15,2,N,Gavilan,,,,,,,,,,
3,250,K,1/20,10,1,1627,CMWA,"18º30`60""N","68º22`48""W",F/J,U,8,OF,G,N,2,C,1,-,T,15,2,N,Gavilan,,,,,,,,,,
4,256,MG,1/21,10,1,745,CMWA,18.5168452,-68.3799738,AD,M,4,UL,G,N,,,,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
4,256,MG,1/21,10,1,745,CMWA,18.5168452,-68.3799738,AD,M,4,UL,G,N,,,,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
4,256,MG,1/21,10,1,745,CMWA,18.5168452,-68.3799738,AD,M,4,UL,G,N,,,,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
4,256,MG,1/21,10,1,745,CMWA,18.5168452,-68.3799738,AD,M,5,OL,H,N,,,,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
3,270,AE,1/21,10,1,740,CMWA,18.5157182,-68.3803208,AD,M,7,OF,F,Y,,H,4,"PRAW, YRWA, CMWA, BAWW",T,9,3,N,Behind Sewage Ponds,,,,,,,,,,
3,270,AE,1/21,10,1,740,CMWA,18.5157182,-68.3803208,AD,M,7,OL,S,Y,,H,4,"PRAW, YRWA, CMWA, BAWW",T,9,3,N,Behind Sewage Ponds,,,,,,,,,,
16,283,AE,1/21,10,1,912,CMWA,18.5197465,-68.3847374,F/J,U,7,UL,G,Y,,H,3,"CMWA, NOPA, BAWW",T,9,3,N,Behind Sewage Ponds,,,,,,,,,,
16,283,AE,1/21,10,1,912,CMWA,18.5197465,-68.3847374,F/J,U,8,OL,G,Y,,H,3,"CMWA, NOPA, BAWW",T,9,3,N,Behind Sewage Ponds,,,,,,,,,,
17,284,AE,1/21,10,1,912,CMWA,18.5197465,-68.3847374,F/J,U,7,OL,H,Y,,H,3,"CMWA, NOPA, BAWW",T,9,3,N,Behind Sewage Ponds,,,,,,,,,,
3,24,E + M + A + K,1/12,30,1,1620,GABU,18.5198419,-68.3837728,U,U,1.5,UB,H,N,,,,,B,,,N,Behind Sewage Ponds,,,,,,,,,,
6,58,A + E,1/15,100,3,1749,HOWA,18.5134801,-68.3742734,Ad,M,0.7,,S,Y,2,H,2,"OVEN, HOWA",B,10,1,N,Casitas,,,,,,,,,,
6,58,A + E,1/15,100,3,1749,HOWA,18.5134801,-68.3742734,Ad,M,0.7,F,G,Y,2,H,2,"OVEN, HOWA",B,10,1,N,Casitas,,,,,,,,,,
6,58,A + E,1/15,100,3,1749,HOWA,18.5134801,-68.3742734,Ad,M,0.7,,F,Y,2,H,2,"OVEN, HOWA",B,10,1,N,Casitas,,,,,,,,,,
6,58,A + E,1/15,100,3,1749,HOWA,18.5134801,-68.3742734,Ad,M,0.7,UL,G,Y,2,H,2,"OVEN, HOWA",B,10,1,N,Casitas,,,,,,,,,,
6,58,A + E,1/15,100,3,1749,HOWA,18.5134801,-68.3742734,Ad,M,0.7,T,G,N,,,,,B,10,1,N,Casitas,,,,,,,,,,
6,58,A + E,1/15,100,3,1749,HOWA,18.5134801,-68.3742734,Ad,M,0.7,,F,N,,,,,B,10,1,N,Casitas,,,,,,,,,,
6,58,A + E,1/15,100,3,1749,HOWA,18.5134801,-68.3742734,Ad,M,0.5,,G,N,,,,,B,10,1,N,Casitas,,,,,,,,,,
6,58,A + E,1/15,100,3,1749,HOWA,18.5134801,-68.3742734,Ad,M,0.2,,H,N,,,,,B,10,1,N,Casitas,,,,,,,,,,
4,213,AE,1/20,10,1,810,HOWA,18.5137843,-68.3748836,AD,M,2,D,G,N,,,,,D,12,1,N,Reserve,,,,,,,,,,
4,213,AE,1/20,10,1,810,HOWA,18.5137843,-68.3748836,AD,M,2,D,G,N,,,,,D,12,1,N,Reserve,,,,,,,,,,
4,213,AE,1/20,10,1,810,HOWA,18.5137843,-68.3748836,AD,M,1,W,S,N,,,,,A,12,1,N,Reserve,,,,,,,,,,
4,213,AE,1/20,10,1,810,HOWA,18.5137843,-68.3748836,AD,M,3,OL,G,N,,,,,B,12,1,N,Reserve,,,,,,,,,,
4,213,AE,1/20,10,1,810,HOWA,18.5137843,-68.3748836,AD,M,2,OL,F,N,,,,,B,12,1,N,Reserve,,,,,,,,,,
9,218,AE,1/20,10,1,905,HOWA,18.5092904,-68.3742603,AD,M,1,D,G,N,,,,,D,15,1,N,Reserve,,,,,,,,,,
9,218,AE,1/20,10,1,905,HOWA,18.5092904,-68.3742603,AD,M,2,OL,S,N,,,,,S,15,1,N,Reserve,,,,,,,,,,
9,218,AE,1/20,10,1,905,HOWA,18.5092904,-68.3742603,AD,M,1,D,G,N,,,,,D,15,1,N,Reserve,,,,,,,,,,
9,218,AE,1/20,10,1,905,HOWA,18.5092904,-68.3742603,AD,M,0,G,G,N,,,,,LL,15,1,N,Reserve,,,,,,,,,,
20,147,AE,1/19,0,0,935,LOWA,18.5184314,-68.3780489,U,U,0,G,G,Y,,H,2,"PAWA, LOWA",G,9,1,N,Hacienda,,,,,,,,,,
20,147,AE,1/19,0,0,935,LOWA,18.5184314,-68.3780489,U,U,1,OF,S,Y,,H,2,"PAWA, LOWA",G,9,1,N,Hacienda,,,,,,,,,,
11,11,E + M,1/11,30,2,1614,NOPA,18.5192112,-68.3840333,U,U,2.5,OL,G,N,,,,,,,,Y,Behind Sewage Ponds,,,,0.2,4,Dense ES,8,,OVEN,24
11,11,E + M,1/11,30,2,1627,NOPA,18.5192112,-68.3840333,U,F,2.25,,G,Y,2,C,1,,,,,Y,Behind Sewage Ponds,,,,,0.5,Dense ES,4,,LOWA,2
12,12,E + M,1/11,30,2,1627,NOPA,18.5192112,-68.3840333,U,F,2.8,OS,G,Y,2,C,1,,,,,Y,Behind Sewage Ponds,,,,0.3,,Dense ES,,,PAWA,42
